Latent dim,Model,Parameter,mode_nclus,avg_nclus,ari_best_clus,CI_aris
2,Lamb,0.1,10,9.9692,0.7244028058008055,"(0.7156193111117404, 0.719922033209575)"
2,Lamb,0.5,37,37.0168,0.191140741764252,"(0.19445409895527546, 0.19518948156450402)"
2,Lamb,1.0,39,38.984,0.1981259391839508,"(0.18544472157256628, 0.1861658908327639)"
2,APPLAM,5.0,6,5.672,0.6014416999578638,"(0.5962350880074185, 0.598893099442618)"
2,APPLAM,10.0,8,7.864,0.7903055848261328,"(0.7954452868918125, 0.799009720067337)"
2,APPLAM,20.0,6,5.989,0.8031037552175501,"(0.7086174989279656, 0.7214499872640189)"
5,Lamb,0.1,84,83.4274,0.0490185201248257,"(0.050862860508621516, 0.05093982235142919)"
5,Lamb,0.5,85,85.2536,0.0475298120907365,"(0.050875594851993104, 0.050971303515149204)"
5,Lamb,1.0,86,86.0854,0.0481254773452089,"(0.050433906128312674, 0.05056739672631048)"
5,APPLAM,5.0,4,3.774,1.0,"(0.8524080859263903, 0.872800797581234)"
5,APPLAM,10.0,4,4.356,1.0,"(0.9897247937555331, 0.9920169235647849)"
5,APPLAM,20.0,4,4.123,1.0,"(0.9889006955117646, 0.9906873273869788)"
8,Lamb,0.1,75,74.3702,0.0746814043303217,"(0.0749498387293677, 0.0749912144912876)"
8,Lamb,0.5,73,72.336,0.0781857705891692,"(0.07883182411501996, 0.07887726342971238)"
8,Lamb,1.0,76,76.5052,0.0822634924591798,"(0.08275587101265808, 0.08279296075238934)"
8,APPLAM,5.0,4,4.00125,1.0,"(0.9999753842525596, 1.0000079763949536)"
8,APPLAM,10.0,4,4.0,1.0,"(nan, nan)"
8,APPLAM,20.0,4,4.0,1.0,"(nan, nan)"
