Latent dim,Model,Parameter,mode_nclus,avg_nclus,ari_best_clus,CI_aris
2,Lamb,0.1,7,7.2856,0.8655533587827392,"(0.8567478352584461, 0.8575340841765782)"
2,Lamb,0.5,8,7.8956,0.8717223596930819,"(0.8577421210582623, 0.8586413602341894)"
2,Lamb,1.0,8,8.291,0.8776217792550565,"(0.8600217386115488, 0.8609732188739209)"
2,APPLAM,5.0,8,8.53375,0.6801930914222265,"(0.6570606253980757, 0.6622796488230827)"
2,APPLAM,10.0,11,11.125,0.5016146664278288,"(0.5133245077682225, 0.5178315514652476)"
2,APPLAM,20.0,9,9.49875,0.6635154751671131,"(0.6328486249778512, 0.6386919464407087)"
5,Lamb,0.1,65,63.7094,0.079537595789503,"(0.08309055412706769, 0.08334109824690457)"
5,Lamb,0.5,68,68.176,0.0760369883749394,"(0.07971286802109079, 0.07996703388851073)"
5,Lamb,1.0,69,68.9814,0.0697852998743536,"(0.07887284684280059, 0.0791335921410377)"
5,APPLAM,5.0,6,6.01625,0.9532458860529052,"(0.9482929820525181, 0.9492726148782549)"
5,APPLAM,10.0,4,4.3475,0.947211335585178,"(0.9456143962861188, 0.9461833150973626)"
5,APPLAM,20.0,5,4.87625,0.9665923729010192,"(0.9641636013879779, 0.9648182924321208)"
8,Lamb,0.1,30,29.5864,0.7633314042099331,"(0.7642655014722203, 0.7643944641243304)"
8,Lamb,0.5,40,40.0,0.680516745700439,"(nan, nan)"
8,Lamb,1.0,34,34.4486,0.7382684104051335,"(0.738371983001877, 0.7384531736209036)"
8,APPLAM,5.0,3,3.48375,0.6693924351141596,"(0.6583911677378832, 0.6606769775130877)"
8,APPLAM,10.0,4,4.38375,1.0,"(0.9928813266181948, 0.993941808022756)"
8,APPLAM,20.0,5,5.0,0.9671946478370173,"(0.9724614432756238, 0.9733211804416095)"
